gene_id,Gene Name,Gene Length
AAC75391.1,putative endonuclease SmrB,183
AAC75392.2,DUF2544 domain-containing protein YfcO,273
AAC75393.1,putative fimbrial protein YfcP,179
AAC75394.1,putative fimbrial protein YfcQ,162
AAC75395.1,putative fimbrial protein YfcR,170
AAC75396.1,putative fimbrial chaperone YfcS,250
AAC75399.1,putative fimbrial protein YfcV,187
AAC75400.1,phosphohistidine phosphatase SixA,161
AAC75401.1,3-hydroxyacyl-CoA dehydrogenase FadJ,714
AAC75402.1,3-ketoacyl-CoA thiolase FadI,436
AAC75403.2,DUF406 domain-containing protein YfcZ,94
AAC75404.2,long-chain fatty acid outer membrane channel/bacteriophage T2 receptor,446
AAC75405.1,protein YfdF,352
AAC75406.1,intermembrane phospholipid transport system - outer membrane lipoprotein MlaA,251
AAC75407.1,inner membrane protein YfdC,310
AAC75408.1,CPS-53 (KpLE1) prophage; prophage CPS-53 integrase,385
AAC75409.1,CPS-53 (KpLE1) prophage; putative bactoprenol-linked glucose translocase,120
AAC75410.1,CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase,306
AAC75411.1,CPS-53 (KpLE1) prophage; serotype-specific glucosyl transferase YfdI,443
AAC75413.1,CPS-53 (KpLE1) prophage; putative tail fiber assembly protein YfdK,146
AAC75416.1,CPS-53 (KpLE1) prophage; uncharacterized protein YfdN,164
AAC75418.2,CPS-53 (KpLE1) prophage; uncharacterized protein YfdP,120
AAC75419.1,CPS-53 (KpLE1) prophage; DUF2303 domain-containing protein YfdQ,274
AAC75420.2,CPS-53 (KpLE1) prophage; 5'-deoxynucleotidase,178
AAC75421.1,CPS-53 (KpLE1) prophage; protein YfdS,120
AAC75422.1,CPS-53 (KpLE1) prophage; protein YfdT,101
AAC75423.1,DNA-binding transcriptional dual regulator DsdC,311
AAC75424.1,D-serine transporter,445
AAC75425.1,D-serine ammonia-lyase,442
AAC75426.1,tripartite efflux pump membrane subunit EmrY,512
AAC75427.1,tripartite efflux pump membrane fusion protein EmrK,387
AAC75428.1,DNA-binding transcriptional activator EvgA,204
AAC75429.1,sensor histidine kinase EvgS,1197
AAC75430.2,acetyl-CoA:oxalate CoA-transferase,381
AAC75431.1,putative transport protein YfdV,314
AAC75432.1,oxalyl-CoA decarboxylase,564
AAC75433.1,formyl-CoA transferase,416
AAC75434.1,protein YfdX,211
AAC75435.1,colanic acid synthesis putative lipoprotein YpdI,91
AAC75436.1,DUF2545 domain-containing protein YfdY,80
AAC75437.2,palmitoleoyl acyltransferase,306
AAC75438.1,glutamate--pyruvate aminotransferase AlaC,412
AAC75439.1,sensor histidine kinase PyrS,565
AAC75440.1,DNA-binding transcriptional activator PyrR,244
AAC75441.1,putative AraC-type DNA-binding transcriptional regulator YpdC,285
AAC75442.1,putative PTS multiphosphoryl transfer protein FryA,831
AAC75443.1,aminopeptidase YpdE,345
AAC75444.1,aminopeptidase YpdF,361
AAC75445.1,putative PTS enzyme IIC component FryC,415
AAC75446.1,putative PTS enzyme IIB component FryB,108
AAC75447.1,glucokinase,321
AAC75448.1,putative transport protein YfeO,418
AAC75449.1,DUF2502 domain-containing protein YpeC,108
AAC75451.1,Mn(2(+))/Fe(2(+)): H(+) symporter MntH,412
AAC75452.1,nucleoside:H(+) symporter NupC,400
AAC75453.2,putative IS186/IS421 transposase,370
AAC75454.2,putative c-di-GMP phosphodiesterase PdeA,729
AAC75455.2,putative DNA-binding transcriptional regulator YfeC,114
AAC75456.3,putative DNA-binding transcriptional regulator YfeD,130
AAC75457.1,glutamate--tRNA ligase,471
AAC75458.1,DNA-binding transcriptional activator XapR,294
AAC75459.1,xanthosine:H(+) symporter XapB,418
AAC75460.1,xanthosine phosphorylase,277
AAC75461.1,putative outer membrane porin YfeN,254
AAC75462.1,putative LysR-type DNA-binding transcriptional regulator YfeR,308
AAC75463.1,putative solute:Na(+) symporter,332
AAC75464.1,DNA ligase,671
AAC75465.1,cell division protein ZipA,328
AAC75466.1,sulfate:H(+) symporter,253
AAC75467.1,cysteine synthase A,323
AAC75468.1,phosphocarrier protein HPr,85
AAC75469.1,PTS enzyme I,575
AAC75470.1,Enzyme IIA(Glc),169
AAC75471.1,pyridoxal kinase I,283
AAC75472.1,DUF5329 domain-containing protein YfeK,124
AAC75473.1,PF05406 family protein YfeS,244
AAC75474.1,cysteine synthase B,303
AAC75475.1,sulfate/thiosulfate ABC transporter ATP binding subunit,365
AAC75476.2,sulfate/thiosulfate ABC transporter inner membrane subunit CysW,291
AAC75477.1,sulfate/thiosulfate ABC transporter inner membrane subunit CysU,277
AAC75478.1,thiosulfate/sulfate ABC transporter periplasmic binding protein CysP,338
AAC75479.2,oxidoreductase UcpA,263
AAC75480.1,DNA-binding transcriptional dual regulator MurR,285
AAC75481.1,N-acetylmuramic acid 6-phosphate etherase,298
AAC75482.1,N-acetylmuramic acid-specific PTS enzyme IICB component/anhydro-N-acetylmuramic acid transporter,474
AAC75483.2,penicillin binding protein 4B,434
AAC75484.2,porphyrinogen peroxidase,299
AAC75485.1,DUF1131 domain-containing lipoprotein YfeY,191
AAC75486.2,putative inner membrane protein,149
AAC75487.2,putative acetyltransferase YpeA,141
AAC75488.1,N-acetylmuramoyl-L-alanine amidase A,289
AAC75489.1,coproporphyrinogen III oxidase,299
AAC75490.1,putative AraC-type transcriptional regulator EutR,350
AAC75491.2,putative structural protein  ethanolamine utilization microcompartment,166
AAC75492.1,putative structural protein  ethanolamine utilization microcompartment,219
AAC75493.1,ethanolamine ammonia-lyase subunit beta,295
AAC75494.2,ethanolamine ammonia-lyase subunit alpha,453
AAC75495.2,CPZ-55 prophage; putative phage integrase IntZ,402
AAC75496.1,CPZ-55 prophage; uncharacterized protein YffL,213
AAC75497.1,CPZ-55 prophage; uncharacterized protein YffM,81
AAC75498.2,CPZ-55 prophage; uncharacterized protein YffN,122
AAC75499.1,CPZ-55 prophage; uncharacterized protein YffO,138
AAC75500.1,CPZ-55 prophage; uncharacterized protein YffP,197
AAC75501.2,CPZ-55 prophage; uncharacterized protein YffQ,125
AAC75502.1,CPZ-55 prophage; uncharacterized protein YffR,130
AAC75503.2,CPZ-55 prophage; uncharacterized protein YffS,269
AAC75504.1,ethanolamine ammonia-lyase reactivase EutA,467
AAC75505.1,putative ethanolamine permease EutH,408
AAC75506.2,putative alcohol dehydrogenase EutG,395
AAC75507.1,putative ethanolamine utilization chaperonin EutJ,278
AAC75508.1,acetaldehyde dehydrogenase (acetylating) EutE,467
AAC75509.1,putative ethanolamine catabolic microcompartment shell protein EutN,95
AAC75510.2,putative ethanolamine catabolic microcompartment shell protein EutM,97
AAC75511.1,phosphate acetyltransferase EutD,338
AAC75512.1,putative ethanolamine utilization cobalamin adenosyltransferase,267
AAC75513.1,putative ethanolamine utilization acetate kinase EutQ,233
AAC75514.1,putative ethanolamine utilization acetate kinase EutP,159
AAC75515.2,putative ethanolamine catabolic microcompartment shell protein EutS,111
AAC75516.1,NADP(+)-dependent malate dehydrogenase,759
AAC75517.1,transaldolase A,316
AAC75518.1,transketolase 2,667
AAC75519.1,DUF1176 domain-containing protein YpfG,347
AAC75520.1,GDP-mannose hydrolase,191
AAC75521.1,putative oxidoreductase AegA,659
AAC75522.1,sensory histidine kinase NarQ,566
AAC75523.1,multidrug efflux pump RND permease AcrD,1037
AAC75524.1,putative reductase YffB,118
AAC75525.1,succinyl-diaminopimelate desuccinylase,375
AAC75526.2,esterase YpfH,232
AAC75527.1,tRNA(Met) cytidine acetyltransferase,671
AAC75528.1,uncharacterized protein YpfJ,287
AAC75529.1,phosphoribosylaminoimidazole-succinocarboxamide synthase,237
AAC75530.2,outer membrane protein assembly factor BamC,344
AAC75531.1,4-hydroxy-tetrahydrodipicolinate synthase,292
AAC75532.2,putative transcriptional regulator GcvR,190
AAC75533.1,thiol peroxidase,156
AAC75534.2,hydrogenase 4 component A,205
AAC75535.1,hydrogenase 4 component B,672
AAC75536.2,hydrogenase 4 component C,315
AAC75537.1,hydrogenase 4 component D,479
AAC75538.1,hydrogenase 4 component E,216
AAC75539.1,hydrogenase 4 component F,526
AAC75540.1,hydrogenase 4 catalytic subunit HyfG,555
AAC75541.1,hydrogenase 4 component H,181
AAC75542.1,hydrogenase 4 catalytic subunit HyfI,252
AAC75543.2,putative hydrogenase 4 assembly protein,137
AAC75544.2,DNA-binding transcriptional activator HyfR,670
AAC75545.1,formate channel FocB,282
AAC75546.1,putative transporter YfgO,353
AAC75547.1,beta-barrel assembly-enhancing protease,487
AAC75548.1,putative oxidoreductase YfgD,119
AAC75549.2,inibitor of reinitiation of DNA replication,233
AAC75550.1,uracil:H(+) symporter UraA,429
AAC75551.2,uracil phosphoribosyltransferase,208
AAC75552.1,phosphoribosylformylglycinamide cyclo-ligase,345
AAC75553.1,phosphoribosylglycinamide formyltransferase 1,212
AAC75554.1,polyphosphate kinase,688
AAC75555.1,exopolyphosphatase,513
AAC75556.1,cyclic di-GMP phosphodiesterase PdeF,747
AAC75557.1,nickel/cobalt stress response protein YfgG,63
AAC75558.1,lipoprotein YfgH,172
AAC75559.1,nalidixic acid resistance protein YfgI,179
AAC75560.1,GMP synthetase,525
AAC75561.1,inosine 5'-monophosphate dehydrogenase,488
AAC75562.1,exodeoxyribonuclease VII subunit XseA,456
AAC75563.2,zinc ribbon domain-containing protein YfgJ,71
AAC75564.2,50S ribosomal subunit stability factor,490
AAC75565.1,outer membrane protein assembly factor BamB,392
AAC75566.1,ancillary SecYEG translocon subunit,206
AAC75567.1,histidine--tRNA ligase,424
AAC75568.1,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),372
AAC75569.1,cytoskeleton protein RodZ,337
AAC75570.1,23S rRNA m(2)A2503 methyltransferase/tRNA m(2)A37 methyltransferase,384
AAC75571.1,nucleoside diphosphate kinase,143
AAC75572.1,peptidoglycan glycosyltransferase PbpC,770
AAC75573.1,alpha2-macroglobulin,1653
AAC75574.2,3-mercaptopyruvate sulfurtransferase,281
AAC75575.2,protein SseB,258
AAC75576.2,aminopeptidase B,427
AAC75577.1,accessory iron-sulfur cluster assembly protein IscX,66
AAC75578.1,reduced ferredoxin,111
AAC75579.1,iron-sulfur cluster biosynthesis chaperone HscA,616
AAC75580.1,[Fe-S] cluster biosynthesis co-chaperone HscB,171
AAC75581.1,iron-sulfur cluster insertion protein IscA,107
AAC75582.1,scaffold protein for iron-sulfur cluster assembly,128
AAC75584.1,DNA-binding transcriptional dual regulator IscR,162
AAC75585.1,tRNA Cm32/Um32 methyltransferase,246
AAC75586.1,inositol-phosphate phosphatase,267
AAC75587.2,putative peptidase,284
AAC75588.2,stationary phase inducible protein CsiE,426
AAC75589.1,putative 3-phenylpropionate transporter,379
AAC75590.1,DNA-binding transcriptional dual regulator HcaR,296
AAC75591.1,putative 3-phenylpropionate/cinnamate dioxygenase subunit alpha,453
AAC75592.1,putative 3-phenylpropionate/cinnamate dioxygenase subunit beta,172
AAC75593.1,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit,106
AAC75594.1,2 3-dihydroxy-2 3-dihydrophenylpropionate dehydrogenase,270
AAC75595.1,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit,400
AAC75596.2,putative inner membrane protein,140
AAC75597.1,putative aldose 1-epimerase YphB,290
AAC75598.2,putative zinc-binding dehydrogenase YphC,353
AAC75599.1,putative ABC transporter membrane subunit YphD,332
AAC75600.1,putative ABC transporter ATP-binding protein YphE,503
AAC75601.1,putative ABC transporter periplasmic binding protein YphF,327
AAC75602.2,DUF5107 domain-containing protein YphG,1093
AAC75603.2,putative DNA-binding transcriptional regulator  NAGC-like,397
AAC75604.1,serine hydroxymethyltransferase,417
AAC75605.1,nitric oxide dioxygenase,396
AAC75606.1,nitrogen regulatory protein PII-1,112
AAC75607.1,DNA-binding transcriptional activator GlrR,444
AAC75608.1,outer membrane lipoprotein QseG,237
AAC75609.2,histidine kinase GlrK,475
AAC75611.2,membrane-bound lytic murein transglycosylase F,518
AAC75612.2,tRNA adenosine(34) deaminase,167
AAC75613.2,phosphatidylglycerophosphatase C,211
AAC75614.2,putative DNA-binding transcriptional regulator YfhH,282
AAC75615.1,putative 4Fe-4S cluster-containing protein YfhL,86
AAC75616.1,holo-[acyl-carrier-protein] synthase,126
AAC75617.1,pyridoxine 5'-phosphate synthase,243
AAC75618.1,DNA repair protein RecO,242
AAC75619.1,30S ribosomal subunit maturation GTPase Era,301
AAC75620.1,RNase III,226
AAC75621.1,signal peptidase I,324
AAC75622.1,30S ribosomal subunit biogenesis factor LepA,599
AAC75623.1,protein RseC,159
AAC75624.1,anti-sigma factor stabilizing protein RseB,318
AAC75625.1,anti-sigma-E factor RseA,216
AAC75626.1,RNA polymerase sigma E factor,191
AAC75627.1,L-aspartate oxidase,540
AAC75628.2,tRNA m(6)A37 methyltransferase,245
AAC75629.1,ATP-dependent RNA helicase SrmB,444
AAC75630.2,putative LysR-type DNA-binding transcriptional regulator YfiE,293
AAC75631.1,cysteine/O-acetylserine exporter EamB,195
AAC75632.1,stress-induced alternate pyruvate formate-lyase subunit,127
AAC75633.1,uracil-DNA glycosylase,229
AAC75634.1,putative methyltransferase YfiF,345
AAC75635.1,reduced thioredoxin 2,139
AAC75636.2,tRNA 3-amino-3-carboxypropyltransferase,232
AAC75637.1,peptidyl-lysine N-acetyltransferase,886
AAC75638.2,phosphatidylserine synthase,451
AAC75639.2,protein YfiM,107
AAC75640.1,alpha-ketoglutarate:H(+) symporter,432
AAC75641.1,chaperone protein ClpB,857
AAC75642.1,polyphenol oxidase YfiH,243
AAC75643.1,23S rRNA pseudouridine(1911/1915/1917) synthase,326
AAC75644.1,outer membrane protein assembly factor BamD,245
AAC75646.1,ribosome-associated inhibitor A,113
AAC75647.1,phe operon leader peptide,15
AAC75648.1,fused chorismate mutase/prephenate dehydratase,386
AAC75649.1,fused chorismate mutase/prephenate dehydrogenase,373
AAC75650.1,3-deoxy-7-phosphoheptulonate synthase  Tyr-sensitive,356
AAC75651.2,DUF2799 domain-containing lipoprotein YfiL,121
AAC75652.1,DUF4154 domain-containing protein YfiR,172
AAC75653.1,diguanylate cyclase DgcN,408
AAC75654.1,lipoprotein YfiB,160
AAC75655.1,50S ribosomal subunit protein L19,115
AAC75656.1,tRNA m(1)G37 methyltransferase,255
AAC75657.2,ribosome maturation factor RimM,182
AAC75658.1,30S ribosomal subunit protein S16,82
AAC75659.1,signal recognition particle protein component,453
AAC75660.2,cytochrome c assembly family protein,263
AAC75663.1,nucleotide exchange factor GrpE,197
AAC75664.1,NAD kinase,292
AAC75666.2,outer membrane protein assembly factor BamE,113
AAC75667.2,putative component of the Rsx system,96
AAC75668.1,ribosome association toxin RatA,158
AAC75669.1,SsrA-binding protein,160
AAC75670.1,CP4-57 prophage; integrase IntA,413
AAC75671.1,CP4-57 prophage; uncharacterized protein YfjH,318
AAC75672.1,CP4-57 prophage; DNA-binding transcriptional activator AlpA,70
AAC75673.1,CP4-57 prophage; protein YfjI,469
AAC75674.1,CP4-57 prophage; protein YfjJ,208
AAC75675.1,CP4-57 prophage; putative helicase YfjK,729
AAC75676.1,CP4-57 prophage; anti-bacteriophage protein,538
AAC75677.1,CP4-57 prophage; protein YfjM,87
AAC75678.1,CP4-57 prophage; RNase LS  toxin of the RnlAB toxin-antitoxin system,357
AAC75679.2,CP4-57 prophage; antitoxin RnlB,123
AAC75681.1,CP4-57 prophage; DUF932 domain-containing protein YfjQ,273
AAC75682.1,CP4-57 prophage; putative DNA-binding transcriptional regulator YfjR,233
AAC75683.2,CP4-57 prophage; uncharacterized protein YpjK,78
AAC75684.2,CP4-57 prophage; inner membrane lipoprotein YfjS,147
AAC75685.1,CP4-57 prophage; uncharacterized protein YfjT,155
AAC75690.1,CP4-57 prophage; uncharacterized protein YfjW,567
AAC75691.1,CP4-57 prophage; putative antirestriction protein YfjX,152
AAC75692.1,CP4-57 prophage; RadC-like JAB domain-containing protein YfjY,160
AAC75693.1,CP4-57 prophage; putative antitoxin of the YpjF-YfjZ toxin-antitoxin system,105
AAC75694.1,CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system,109
AAC75695.2,adhesin-like autotransporter YpjA,1526
AAC75706.2,glutarate hydroxylase GlaH,325
AAC75707.2,L-2-hydroxyglutarate dehydrogenase,422
AAC75708.1,succinate-semialdehyde dehydrogenase (NADP(+)) GabD,482
AAC75709.1,4-aminobutyrate aminotransferase GabT,426
AAC75710.1,4-aminobutanoate:H(+) symporter,466
AAC75711.2,DNA-binding transcriptional repressor GlaR,220
AAC75712.1,K(+) binding protein,149
AAC75713.1,Pmp3 family protein YqaE,52
AAC75714.1,putative DNA-binding transcriptional regulator YgaV,99
AAC75715.1,thiosulfate sulfurtransferase YgaP,174
AAC75716.1,DNA-binding transcriptional repressor StpA with RNA chaperone activity,134
AAC75717.1,L-alanine exporter,149
AAC75718.1,DUF2002 domain-containing protein YgaC,114
AAC75719.2,DUF883 domain-containing protein YgaM,109
AAC75720.1,glutaredoxin-like protein NrdH,81
AAC75721.1,dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI,136
AAC75722.1,ribonucleoside-diphosphate reductase 2 subunit alpha,714
AAC75723.1,ribonucleoside-diphosphate reductase 2 subunit beta,319
AAC75724.1,glycine betaine ABC transporter ATP binding subunit ProV,400
AAC75725.1,glycine betaine ABC transporter membrane subunit ProW,354
AAC75726.1,glycine betaine ABC transporter periplasmic binding protein ProX,330
AAC75729.1,L-valine exporter  YgaZ component,245
AAC75730.1,L-valine exporter  YgaH component,111
AAC75731.1,DNA-binding transcriptional repressor MprA,176
AAC75732.1,multidrug efflux pump membrane fusion protein EmrA,390
AAC75733.1,multidrug efflux pump membrane subunit EmrB,512
AAC75734.1,S-ribosylhomocysteine lyase,171
AAC75735.1,glutamate--cysteine ligase,518
AAC75736.1,DedA family protein YqaA,142
AAC75737.1,fructose-1-phosphate phosphatase YqaB,188
AAC75738.1,carbon storage regulator,61
AAC75739.1,alanine--tRNA ligase/DNA-binding transcriptional repressor,876
AAC75740.1,RecA inhibitor RecX,166
AAC75741.1,DNA recombination/repair protein RecA,353
AAC75742.1,NMN aminohydrolase,165
AAC75743.1,membrane-bound lytic murein transglycosylase B,361
AAC75746.1,sorbitol-specific PTS enzyme IIA component,123
AAC75747.1,sorbitol-6-phosphate 2-dehydrogenase,259
AAC75748.1,DNA-binding transcriptional activator GutM,119
AAC75749.1,DNA-binding transcriptional repressor SrlR,257
AAC75750.2,D-arabinose 5-phosphate isomerase GutQ,321
AAC75751.2,DNA-binding transcriptional dual regulator NorR,504
AAC75752.1,anaerobic nitric oxide reductase flavorubredoxin,479
AAC75753.1,NADH:flavorubredoxin reductase,377
AAC75754.1,carbamoyl--[HypE] ligase,750
AAC75755.1,putative electron transport protein HydN,175
AAC75756.2,DNA-binding transcriptional repressor AscG,336
AAC75758.1,6-phospho-beta-glucosidase AscB,474
AAC75759.1,hydrogenase 3 maturation protease,156
AAC75760.1,formate hydrogenlyase assembly protein,136
AAC75761.1,formate hydrogenlyase subunit HycG,255
AAC75762.1,formate hydrogenlyase subunit HycF,180
AAC75763.1,formate hydrogenlyase subunit HycE,569
AAC75764.1,formate hydrogenlyase subunit HycD,307
AAC75765.1,formate hydrogenlyase subunit HycC,608
AAC75766.1,formate hydrogenlyase subunit HycB,203
AAC75767.1,regulator of the transcriptional regulator FhlA,153
AAC75768.1,hydrogenase 3 nickel incorporation protein HypA,116
AAC75769.1,hydrogenase isoenzymes nickel incorporation protein HypB,290
AAC75770.1,hydrogenase 3 maturation protein HypC,90
AAC75771.1,Fe-(CN)2CO cofactor assembly scaffold protein HypD,373
AAC75772.2,hydrogenase maturation protein  carbamoyl dehydratase,336
AAC75773.1,DNA-binding transcriptional activator FhlA,692
AAC75774.1,protein YgbA,117
AAC75775.1,DNA mismatch repair protein MutS,853
AAC75776.1,phosphoprotein phosphatase 2,218
AAC75777.2,putative DeoR-type DNA-binding transcriptional regulator YgbI,255
AAC75778.1,putative L-threonate dehydrogenase,302
AAC75779.1,putative 3-oxo-tetronate kinase YgbK,388
AAC75780.1,putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL,212
AAC75781.1,putative 2-oxo-tetronate isomerase YgbM,258
AAC75782.1,putative transporter YgbN,454
AAC75783.1,RNA polymerase  sigma S (sigma 38) factor,330
AAC75784.1,murein hydrolase activator NlpD,379
AAC75785.1,L-isoaspartate protein carboxylmethyltransferase type II,208
AAC75786.1,broad specificity 5'(3')-nucleotidase and polyphosphatase,253
AAC75787.1,tRNA pseudouridine(13) synthase,349
AAC75788.1,2-C-methyl-D-erythritol 2 4-cyclodiphosphate synthase,159
AAC75789.1,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,236
AAC75790.1,cell division protein FtsB,103
AAC75791.1,DUF3561 domain-containing inner membrane protein YgbE,107
AAC75792.1,adenylyl-sulfate kinase,201
AAC75793.1,sulfate adenylyltransferase subunit 1,475
AAC75794.1,sulfate adenylyltransferase subunit 2,302
AAC75795.1,alkaline phosphatase isozyme conversion protein,345
AAC75796.2,CRISPR-associated endoribonuclease Cas2,94
AAC75797.1,multifunctional nuclease Cas1,305
AAC75798.1,pre-CRISPR RNA endonuclease,199
AAC75799.2,type I-E CRISPR system Cascade subunit CasD,224
AAC75800.1,type I-E CRISPR system Cascade subunit CasC,363
AAC75801.1,type I-E CRISPR system Cascade subunit CasB,160
AAC75802.1,type I-E CRISPR system Cascade subunit CasA,502
AAC75803.1,CRISPR-associated endonuclease/helicase Cas3,888
AAC75804.1,phosphoadenosine phosphosulfate reductase,244
AAC75805.1,sulfite reductase  hemoprotein subunit,570
AAC75806.1,sulfite reductase  flavoprotein subunit,599
AAC75807.1,6-carboxy-5 6 7 8-tetrahydropterin synthase,121
AAC75808.2,putative oxidoreductase with FAD/NAD(P)-binding domain,423
AAC75809.2,putative 4Fe-4S cluster-containing protein,86
AAC75810.1,putative anti-terminator regulatory protein,191
AAC75811.2,putative flavoprotein,286
AAC75812.2,putative flavoprotein,259
AAC75813.2,putative transporter YgcS,445
AAC75816.2,putative deoxygluconate dehydrogenase,261
AAC75817.1,putative transport protein YqcE,425
AAC75818.1,putative sugar kinase YgcE,492
AAC75819.1,putative 7-carboxy-7-deazaguanine synthase QueE,223
AAC75820.2,protein YgcG,290
AAC75821.1,enolase,432
AAC75822.1,CTP synthetase,545
AAC75823.1,nucleoside triphosphate pyrophosphohydrolase,263
AAC75824.1,endoribonuclease toxin MazF,111
AAC75825.1,antitoxin of the MazF-MazE toxin-antitoxin system MazE,82
AAC75826.1,GDP/GTP pyrophosphokinase,744
AAC75827.1,23S rRNA m(5)U1939 methyltransferase,433
AAC75828.1,sensor histidine kinase BarA,918
AAC75829.1,D-glucarate dehydratase,446
AAC75830.1,glucarate dehydratase-related protein,446
AAC75831.1,galactarate/D-glucarate transporter GudP,450
AAC75832.1,putative flavodoxin YqcA,149
AAC75833.1,tRNA pseudouridine(65) synthase,260
AAC75834.1,DUF446 domain-containing protein YqcC,109
AAC75835.1,SecY-interacting protein,181
AAC75836.1,7-cyano-7-deazaguanine reductase,282
AAC75837.1,nucleotide 5'-monophosphate nucleosidase,454
AAC75838.1,L-serine:H(+) symporter SdaC,429
AAC75839.1,L-serine deaminase II,455
AAC75840.2,flap endonuclease,251
AAC75841.2,L-1 2-propanediol oxidoreductase,382
AAC75842.1,L-fuculose-phosphate aldolase,215
AAC75843.1,L-fucose:H(+) symporter,438
AAC75844.1,L-fucose isomerase,591
AAC75845.2,L-fuculokinase,472
AAC75846.1,L-fucose mutarotase,140
AAC75847.1,DNA-binding transcriptional activator FucR,243
AAC75848.1,23S rRNA 2'-O-ribose C2498 methyltransferase,366
AAC75849.1,DUF423 domain-containing inner membrane protein YgdD,131
AAC75850.1,DNA-binding transcriptional dual regulator GcvA,305
AAC75851.2,DUF903 domain-containing lipoprotein YgdI,75
AAC75852.1,cysteine sulfinate desulfinase,401
AAC75853.1,sulfur acceptor protein CsdE,147
AAC75854.1,tRNA threonylcarbamoyladenosine dehydratase,268
AAC75855.1,membrane-bound lytic murein transglycosylase A,365
AAC75856.2,N-acetylmuramoyl-L-alanine amidase C,417
AAC75857.1,N-acetylglutamate synthase,443
AAC75858.1,exodeoxyribonuclease V subunit RecD,608
AAC75859.1,exodeoxyribonuclease V subunit RecB,1180
AAC75860.1,protease 3,962
AAC75861.1,exodeoxyribonuclease V subunit RecC,1122
AAC75862.1,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdC,107
AAC75863.2,DUF2509 domain-containing protein YgdB,135
AAC75864.1,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdB,187
AAC75865.1,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdA,156
AAC75866.1,thymidylate synthase,264
AAC75867.1,phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,291
AAC75868.1,phosphoenolpyruvate-protein phosphotransferase PtsP,748
AAC75869.1,RNA pyrophosphohydrolase,176
AAC75870.1,DNA mismatch repair protein MutH,229
AAC75871.1,UPF0053 inner membrane protein YgdQ,237
AAC75872.1,DUF903 domain-containing lipoprotein YgdR,72
AAC75873.1,putative NADP(H)-dependent aldo-keto reductase Tas,346
AAC75874.1,lysophospholipid transporter,397
AAC75875.1,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,719
AAC75876.1,DNA-binding transcriptional dual regulator GalR,343
AAC75877.1,diaminopimelate decarboxylase,420
AAC75878.1,DNA-binding transcriptional dual regulator LysR,311
AAC75879.1,amino acid racemase YgeA,230
AAC75880.1,arabinose:H(+) symporter,472
AAC75881.1,putative 2-keto-3-deoxy-D-gluconate dehydrogenase,253
AAC75882.1,5-dehydro-4-deoxy-D-glucuronate isomerase,278
AAC75883.2,putative acyltransferase,393
AAC75884.1,putative transporter YqeG,409
AAC75885.2,putative LuxR family transcriptional regulator YqeH,210
AAC75886.1,putative transcriptional regulator YqeI,269
AAC75887.2,protein YqeJ,160
AAC75888.2,protein YqeK,141
AAC75890.1,TPR repeat-containing putative chaperone YgeG,163
AAC75891.1,putative transcriptional regulator YgeH,458
AAC75892.1,protein YgeI,72
AAC75899.1,IS2 insertion element protein InsB,301
AAC75900.3,IS2 insertion element repressor InsA,121
AAC75903.2,LysM domain-containing putative peptidase lipoprotein YgeR,251
AAC75904.1,putative xanthine dehydrogenase molybdenum-binding subunit XdhA,752
AAC75905.1,putative xanthine dehydrogenase FAD-binding subunit XdhB,292
AAC75906.1,putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC,159
AAC75907.1,putative sigma(54)-dependent transcriptional regulator YgeV,592
AAC75909.1,2 3-diaminopropionate ammonia-lyase,398
AAC75910.1,putative peptidase YgeY,403
AAC75911.2,phenylhydantoinase,461
AAC75912.1,putative amino acid kinase YqeA,310
AAC75913.1,XdhC-CoxI family protein YqeB,541
AAC75914.2,uncharacterized protein YqeC,256
AAC75915.1,molybdenum cofactor cytidylyltransferase,192
AAC75916.1,putative oxidoreductase  Fe-S subunit,1032
AAC75917.2,putative aminohydrolase SsnA,442
AAC75918.1,putative oxidoreductase,259
AAC75919.1,fused putative xanthine/hypoxanthine oxidase: molybdopterin-binding subunit and Fe-S binding subunit,956
AAC75920.2,xanthine:H(+) symporter XanQ,466
AAC75921.1,guanine deaminase,439
AAC75924.2,putative electron transport protein YgfS,162
AAC75925.2,putative oxidoreductase YgfT,639
AAC75926.2,urate:H(+) symporter,482
AAC75927.1,isopentenyl-diphosphate Delta-isomerase,182
AAC75928.1,lysine--tRNA ligase  constitutive,505
AAC75929.1,peptide chain release factor RF2,365
AAC75930.1,ssDNA-specific exonuclease RecJ,577
AAC75931.1,protein disulfide isomerase DsbC,236
AAC75932.1,site-specific recombinase,298
